State,Region,Race,Population,Group
Alaska,All Regions,NHA,6,Population
Arizona,All Regions,NHA,3.3000000000000003,Population
Arkansas,All Regions,NHA,1.6,Population
California,All Regions,NHA,14.7,Population
Colorado,All Regions,NHA,3.2,Population
Connecticut,All Regions,NHA,4.6,Population
Delaware,All Regions,NHA,3.9,Population
District of Columbia,All Regions,NHA,3.6999999999999997,Population
Georgia,All Regions,NHA,4.1000000000000005,Population
Hawaii,All Regions,NHA,39.4,Population
Idaho,All Regions,NHA,1.2,Population
Illinois,All Regions,NHA,5.6000000000000005,Population
Indiana,All Regions,NHA,2.4,Population
Iowa,All Regions,NHA,2.3,Population
Kansas,All Regions,NHA,2.8000000000000003,Population
Kentucky,All Regions,NHA,1.6,Population
Louisiana,All Regions,NHA,1.7000000000000002,Population
Maine,All Regions,NHA,1.0999999999999999,Population
Maryland,All Regions,NHA,6.4,Population
Massachusetts,All Regions,NHA,6.7,Population
Michigan,All Regions,NHA,3.2,Population
Minnesota,All Regions,NHA,4.9,Population
Mississippi,All Regions,NHA,1,Population
Missouri,All Regions,NHA,2.1,Population
Nebraska,All Regions,NHA,2.4,Population
Nevada,All Regions,NHA,8.5,Population
New Hampshire,All Regions,NHA,2.6,Population
New Jersey,All Regions,NHA,9.6,Population
New Mexico,All Regions,NHA,1.6,Population
North Carolina,All Regions,NHA,2.9000000000000004,Population
Ohio,All Regions,NHA,2.3,Population
Oklahoma,All Regions,NHA,2.1,Population
Oregon,All Regions,NHA,4.7,Population
Pennsylvania,All Regions,NHA,3.5000000000000004,Population
Rhode Island,All Regions,NHA,3.3000000000000003,Population
South Carolina,All Regions,NHA,1.7000000000000002,Population
South Dakota,All Regions,NHA,1.3,Population
Tennessee,All Regions,NHA,1.7999999999999998,Population
Texas,All Regions,NHA,5,Population
Utah,All Regions,NHA,2.3,Population
Vermont,All Regions,NHA,1.6,Population
Virginia,All Regions,NHA,6.7,Population
Washington,All Regions,NHA,8.9,Population
Wisconsin,All Regions,NHA,3,Population
Wyoming,All Regions,NHA,0.6,Population
