"","State","Region","Race","Population","Group"
"964","Kansas","All Regions","NHW",75.9811616954474,"Mortality"
"965","Kentucky","All Regions","NHW",83.5820895522388,"Mortality"
"966","Louisiana","All Regions","NHW",52.6167168674699,"Mortality"
"967","Maine","All Regions","NHW",96.8,"Mortality"
"968","Maryland","All Regions","NHW",42.7120365667852,"Mortality"
"969","Massachusetts","All Regions","NHW",76.0080859665922,"Mortality"
"970","Michigan","All Regions","NHW",55.8456628952713,"Mortality"
"971","Minnesota","All Regions","NHW",77.9861796643633,"Mortality"
"972","Mississippi","All Regions","NHW",47.1074380165289,"Mortality"
"973","Missouri","All Regions","NHW",66.3650075414781,"Mortality"
"974","Montana","All Regions","NHW",62.992125984252,"Mortality"
"975","Nebraska","All Regions","NHW",83.3333333333333,"Mortality"
"976","Nevada","All Regions","NHW",50.6035283194058,"Mortality"
"977","New Hampshire","All Regions","NHW",93.9252336448598,"Mortality"
"978","New Jersey","All Regions","NHW",54.3912933434573,"Mortality"
"979","New Mexico","All Regions","NHW",24.0549828178694,"Mortality"
"980","North Carolina","All Regions","NHW",60.3151010701546,"Mortality"
"981","Ohio","All Regions","NHW",78.5109983079526,"Mortality"
"982","Oklahoma","All Regions","NHW",76.6666666666667,"Mortality"
"983","Oregon","All Regions","NHW",75,"Mortality"
"984","Pennsylvania","All Regions","NHW",72.5529018685806,"Mortality"
"985","Rhode Island","All Regions","NHW",80.5280528052805,"Mortality"
"986","South Carolina","All Regions","NHW",56.3472846765825,"Mortality"
"987","South Dakota","All Regions","NHW",66.8161434977578,"Mortality"
"988","Tennessee","All Regions","NHW",67.2258592471358,"Mortality"
"989","Texas","All Regions","NHW",30.1465320742429,"Mortality"
"990","Utah","All Regions","NHW",55.0691244239631,"Mortality"
"991","Vermont","All Regions","NHW",94.8275862068966,"Mortality"
"992","Virginia","All Regions","NHW",56.3166397415186,"Mortality"
"993","Washington","All Regions","NHW",67.7527551509343,"Mortality"
"994","West Virginia","All Regions","NHW",82.9479768786127,"Mortality"
"995","Wisconsin","All Regions","NHW",76.0456273764259,"Mortality"
"996","Wyoming","All Regions","NHW",56.0975609756098,"Mortality"
"997","Alabama","All Regions","NHB",41.0134257254223,"Mortality"
"998","Alaska","All Regions","NHB",3.63636363636364,"Mortality"
"999","Arizona","All Regions","NHB",3.56715823037067,"Mortality"
"1000","Arkansas","All Regions","NHB",21.841890790546,"Mortality"
"1001","California","All Regions","NHB",7.64372260891982,"Mortality"
"1002","Colorado","All Regions","NHB",6.39293139293139,"Mortality"
"1003","Connecticut","All Regions","NHB",14.8231079265562,"Mortality"
"1004","Delaware","All Regions","NHB",25.6289308176101,"Mortality"
"1005","District of Columbia","All Regions","NHB",75.2012882447665,"Mortality"
"1006","Florida","All Regions","NHB",19.0847482328937,"Mortality"
"1007","Georgia","All Regions","NHB",41.3793103448276,"Mortality"
"1008","Hawaii","All Regions","NHB",3.87596899224806,"Mortality"
"1009","Idaho","All Regions","NHB",0.862068965517241,"Mortality"
"1010","Illinois","All Regions","NHB",25.9864580901237,"Mortality"
"1011","Indiana","All Regions","NHB",14.1908975979772,"Mortality"
"1012","Iowa","All Regions","NHB",4.27493713327745,"Mortality"
"1013","Kansas","All Regions","NHB",13.6577708006279,"Mortality"
"1014","Kentucky","All Regions","NHB",12.8731343283582,"Mortality"
"1015","Louisiana","All Regions","NHB",45.8960843373494,"Mortality"
"1016","Maine","All Regions","NHB",3.2,"Mortality"
"1017","Maryland","All Regions","NHB",40.9344845099035,"Mortality"
"1018","Massachusetts","All Regions","NHB",8.14980317055006,"Mortality"
"1019","Michigan","All Regions","NHB",39.0049318247752,"Mortality"
"1020","Minnesota","All Regions","NHB",9.6248766041461,"Mortality"
"1021","Mississippi","All Regions","NHB",47.1418732782369,"Mortality"
"1022","Missouri","All Regions","NHB",28.9592760180996,"Mortality"
"1023","Nebraska","All Regions","NHB",7.43243243243243,"Mortality"
"1024","Nevada","All Regions","NHB",12.2562674094708,"Mortality"
"1025","New Hampshire","All Regions","NHB",2.10280373831776,"Mortality"
"1026","New Jersey","All Regions","NHB",18.0397367754999,"Mortality"
"1027","New Mexico","All Regions","NHB",1.1454753722795,"Mortality"
"1028","North Carolina","All Regions","NHB",30.1426872770511,"Mortality"
"1029","Ohio","All Regions","NHB",18.2106598984772,"Mortality"
"1030","Oklahoma","All Regions","NHB",6.875,"Mortality"
"1031","Oregon","All Regions","NHB",2.64227642276423,"Mortality"
"1032","Pennsylvania","All Regions","NHB",20.6410097760178,"Mortality"
"1033","Rhode Island","All Regions","NHB",6.16061606160616,"Mortality"
"1034","South Carolina","All Regions","NHB",40.7817364233829,"Mortality"
"1035","South Dakota","All Regions","NHB",0.896860986547085,"Mortality"
"1036","Tennessee","All Regions","NHB",27.291325695581,"Mortality"
"1037","Texas","All Regions","NHB",11.3187886681863,"Mortality"
"1038","Utah","All Regions","NHB",1.61290322580645,"Mortality"
"1039","Virginia","All Regions","NHB",26.9789983844911,"Mortality"
"1040","Washington","All Regions","NHB",3.30618112122664,"Mortality"
"1041","West Virginia","All Regions","NHB",2.60115606936416,"Mortality"
"1042","Wisconsin","All Regions","NHB",18.0228136882129,"Mortality"
"1043","Wyoming","All Regions","NHB",2.4390243902439,"Mortality"
"1044","Alabama","All Regions","Hispanic",2.94499783456042,"Mortality"
"1045","Alaska","All Regions","Hispanic",1.81818181818182,"Mortality"
"1046","Arizona","All Regions","Hispanic",34.1968911917098,"Mortality"
"1047","Arkansas","All Regions","Hispanic",7.09046454767726,"Mortality"
"1048","California","All Regions","Hispanic",48.2985305491106,"Mortality"
"1049","Colorado","All Regions","Hispanic",23.6486486486486,"Mortality"
"1050","Connecticut","All Regions","Hispanic",8.97895208240036,"Mortality"
"1051","Delaware","All Regions","Hispanic",7.70440251572327,"Mortality"
"1052","District of Columbia","All Regions","Hispanic",12.7214170692432,"Mortality"
"1053","Florida","All Regions","Hispanic",26.6632660496976,"Mortality"
"1054","Georgia","All Regions","Hispanic",6.20401096522868,"Mortality"
"1055","Idaho","All Regions","Hispanic",12.2844827586207,"Mortality"
"1056","Illinois","All Regions","Hispanic",20.3245388746206,"Mortality"
"1057","Indiana","All Regions","Hispanic",2.4968394437421,"Mortality"
"1058","Iowa","All Regions","Hispanic",6.20284995808885,"Mortality"
"1059","Kansas","All Regions","Hispanic",14.5996860282575,"Mortality"
"1060","Kentucky","All Regions","Hispanic",3.45149253731343,"Mortality"
"1061","Maine","All Regions","Hispanic",0,"Mortality"
"1062","Maryland","All Regions","Hispanic",11.5033011681056,"Mortality"
"1063","Massachusetts","All Regions","Hispanic",6.93690818172146,"Mortality"
"1064","Michigan","All Regions","Hispanic",2.93008413112852,"Mortality"
"1065","Minnesota","All Regions","Hispanic",4.78775913129319,"Mortality"
"1066","Mississippi","All Regions","Hispanic",1.30853994490358,"Mortality"
"1067","Missouri","All Regions","Hispanic",3.46907993966818,"Mortality"
"1068","Nebraska","All Regions","Hispanic",20.4954954954955,"Mortality"
"1069","Nevada","All Regions","Hispanic",23.4911792014856,"Mortality"
"1070","New Hampshire","All Regions","Hispanic",2.80373831775701,"Mortality"
"1071","New Jersey","All Regions","Hispanic",20.1467982789167,"Mortality"
"1072","New Mexico","All Regions","Hispanic",24.2840778923253,"Mortality"
"1073","North Carolina","All Regions","Hispanic",8.76932223543401,"Mortality"
"1074","Ohio","All Regions","Hispanic",2.22081218274112,"Mortality"
"1075","Oklahoma","All Regions","Hispanic",6.66666666666667,"Mortality"
"1076","Oregon","All Regions","Hispanic",15.8536585365854,"Mortality"
"1077","Pennsylvania","All Regions","Hispanic",5.84086127954461,"Mortality"
"1078","Rhode Island","All Regions","Hispanic",11.6611661166117,"Mortality"
"1079","South Carolina","All Regions","Hispanic",3.59737115185057,"Mortality"
"1080","South Dakota","All Regions","Hispanic",2.69058295964126,"Mortality"
"1081","Tennessee","All Regions","Hispanic",6.09656301145663,"Mortality"
"1082","Texas","All Regions","Hispanic",56.125040703354,"Mortality"
"1083","Utah","All Regions","Hispanic",23.5023041474654,"Mortality"
"1084","Vermont","All Regions","Hispanic",0,"Mortality"
"1085","Virginia","All Regions","Hispanic",9.98384491114701,"Mortality"
"1086","Washington","All Regions","Hispanic",14.1351221849545,"Mortality"
"1087","Wisconsin","All Regions","Hispanic",11.6349809885932,"Mortality"
"1088","Wyoming","All Regions","Hispanic",4.8780487804878,"Mortality"
"1089","Alabama","All Regions","NHA",0.346470333477696,"Mortality"
"1090","Alaska","All Regions","NHA",7.27272727272727,"Mortality"
"1091","Arizona","All Regions","NHA",1.31526504583499,"Mortality"
"1092","Arkansas","All Regions","NHA",1.3039934800326,"Mortality"
"1093","California","All Regions","NHA",11.7813869554009,"Mortality"
"1094","Colorado","All Regions","NHA",3.22245322245322,"Mortality"
"1095","Connecticut","All Regions","NHA",1.09717868338558,"Mortality"
"1096","Delaware","All Regions","NHA",0.157232704402516,"Mortality"
"1097","District of Columbia","All Regions","NHA",1.28824476650564,"Mortality"
"1098","Georgia","All Regions","NHA",1.87563122204588,"Mortality"
"1099","Hawaii","All Regions","NHA",55.0387596899225,"Mortality"
"1100","Idaho","All Regions","NHA",0.646551724137931,"Mortality"
"1101","Illinois","All Regions","NHA",4.45949101097362,"Mortality"
"1102","Indiana","All Regions","NHA",0.56890012642225,"Mortality"
"1103","Iowa","All Regions","NHA",2.26320201173512,"Mortality"
"1104","Kansas","All Regions","NHA",2.35478806907378,"Mortality"
"1105","Kentucky","All Regions","NHA",1.11940298507463,"Mortality"
"1106","Louisiana","All Regions","NHA",0.677710843373494,"Mortality"
"1107","Maine","All Regions","NHA",0,"Mortality"
"1108","Maryland","All Regions","NHA",3.78364652107669,"Mortality"
"1109","Massachusetts","All Regions","NHA",2.4896265560166,"Mortality"
"1110","Michigan","All Regions","NHA",1.31998839570641,"Mortality"
"1111","Minnesota","All Regions","NHA",4.63968410661402,"Mortality"
"1112","Mississippi","All Regions","NHA",0.241046831955923,"Mortality"
"1113","Missouri","All Regions","NHA",1.20663650075415,"Mortality"
"1114","Nebraska","All Regions","NHA",4.05405405405405,"Mortality"
"1115","Nevada","All Regions","NHA",12.4419684308264,"Mortality"
"1116","New Hampshire","All Regions","NHA",0.934579439252336,"Mortality"
"1117","New Jersey","All Regions","NHA",5.51759048342192,"Mortality"
"1118","New Mexico","All Regions","NHA",0.458190148911798,"Mortality"
"1119","North Carolina","All Regions","NHA",1.33769322235434,"Mortality"
"1120","Ohio","All Regions","NHA",1.03637901861252,"Mortality"
"1121","Oklahoma","All Regions","NHA",2.5,"Mortality"
"1122","Oregon","All Regions","NHA",3.86178861788618,"Mortality"
"1123","Pennsylvania","All Regions","NHA",2.06657591882193,"Mortality"
"1124","Rhode Island","All Regions","NHA",1.43014301430143,"Mortality"
"1125","South Carolina","All Regions","NHA",0.795572466274645,"Mortality"
"1126","South Dakota","All Regions","NHA",2.24215246636771,"Mortality"
"1127","Tennessee","All Regions","NHA",0.941080196399345,"Mortality"
"1128","Texas","All Regions","NHA",1.87561055030935,"Mortality"
"1129","Utah","All Regions","NHA",5.52995391705069,"Mortality"
"1130","Vermont","All Regions","NHA",3.44827586206897,"Mortality"
"1131","Virginia","All Regions","NHA",4.78190630048465,"Mortality"
"1132","Washington","All Regions","NHA",7.5227599425012,"Mortality"
"1133","Wisconsin","All Regions","NHA",2.73764258555133,"Mortality"
"1134","Wyoming","All Regions","NHA",0,"Mortality"
