"","State","Region","Race","Population","Group"
"295","Colorado","All Regions","Hispanic",21.8,"Population"
"296","Connecticut","All Regions","Hispanic",16.9,"Population"
"297","Delaware","All Regions","Hispanic",9.7,"Population"
"298","District of Columbia","All Regions","Hispanic",11.2,"Population"
"299","Florida","All Regions","Hispanic",26.6,"Population"
"300","Georgia","All Regions","Hispanic",9.8,"Population"
"301","Hawaii","All Regions","Hispanic",10.3,"Population"
"302","Idaho","All Regions","Hispanic",12.9,"Population"
"303","Illinois","All Regions","Hispanic",17.6,"Population"
"304","Indiana","All Regions","Hispanic",7.2,"Population"
"305","Iowa","All Regions","Hispanic",6.3,"Population"
"306","Kansas","All Regions","Hispanic",12.2,"Population"
"307","Kentucky","All Regions","Hispanic",3.7,"Population"
"308","Louisiana","All Regions","Hispanic",5.2,"Population"
"309","Maine","All Regions","Hispanic",1.7,"Population"
"310","Maryland","All Regions","Hispanic",10.6,"Population"
"311","Massachusetts","All Regions","Hispanic",12.4,"Population"
"312","Michigan","All Regions","Hispanic",5.3,"Population"
"313","Minnesota","All Regions","Hispanic",5.6,"Population"
"314","Mississippi","All Regions","Hispanic",3,"Population"
"315","Missouri","All Regions","Hispanic",4.3,"Population"
"316","Montana","All Regions","Hispanic",3.7,"Population"
"317","Nebraska","All Regions","Hispanic",11.3,"Population"
"318","Nevada","All Regions","Hispanic",29.3,"Population"
"319","New Hampshire","All Regions","Hispanic",3.9,"Population"
"320","New Jersey","All Regions","Hispanic",21,"Population"
"321","New Mexico","All Regions","Hispanic",49.5,"Population"
"322","New York","All Regions","Hispanic",19.3,"Population"
"323","North Carolina","All Regions","Hispanic",9.7,"Population"
"324","North Dakota","All Regions","Hispanic",4,"Population"
"325","Ohio","All Regions","Hispanic",4,"Population"
"326","Oklahoma","All Regions","Hispanic",11.1,"Population"
"327","Oregon","All Regions","Hispanic",13.4,"Population"
"328","Pennsylvania","All Regions","Hispanic",7.8,"Population"
"329","Rhode Island","All Regions","Hispanic",16.6,"Population"
"330","South Carolina","All Regions","Hispanic",5.7,"Population"
"331","South Dakota","All Regions","Hispanic",3.7,"Population"
"332","Tennessee","All Regions","Hispanic",5.7,"Population"
"333","Texas","All Regions","Hispanic",40,"Population"
"334","Utah","All Regions","Hispanic",14.4,"Population"
"335","Vermont","All Regions","Hispanic",1.8,"Population"
"336","Virginia","All Regions","Hispanic",9.6,"Population"
"337","Washington","All Regions","Hispanic",13,"Population"
"338","West Virginia","All Regions","Hispanic",1.4,"Population"
"339","Wisconsin","All Regions","Hispanic",7.1,"Population"
"340","Wyoming","All Regions","Hispanic",10.1,"Population"
"341","Alabama","All Regions","NHA",1.4,"Population"
"342","Alaska","All Regions","NHA",6,"Population"
"343","Arizona","All Regions","NHA",3.3,"Population"
"344","Arkansas","All Regions","NHA",1.6,"Population"
"345","California","All Regions","NHA",14.7,"Population"
"346","Colorado","All Regions","NHA",3.2,"Population"
"347","Connecticut","All Regions","NHA",4.6,"Population"
"348","Delaware","All Regions","NHA",3.9,"Population"
"349","District of Columbia","All Regions","NHA",3.7,"Population"
"350","Georgia","All Regions","NHA",4.1,"Population"
"351","Hawaii","All Regions","NHA",39.4,"Population"
